index,input,output
731,-0.342941,-0.473551
732,-0.341768,-0.47358
733,-0.340596,-0.473609
734,-0.339424,-0.473637
735,-0.338251,-0.473666
736,-0.337079,-0.473695
737,-0.335906,-0.473723
738,-0.334734,-0.473752
739,-0.333561,-0.47378
740,-0.332389,-0.473809
741,-0.331216,-0.473837
742,-0.330044,-0.473866
743,-0.328872,-0.473894
744,-0.327699,-0.473923
745,-0.326527,-0.473951
746,-0.325354,-0.473979
747,-0.324182,-0.474008
748,-0.323009,-0.474036
749,-0.321837,-0.474064
750,-0.320664,-0.474092
751,-0.319492,-0.474121
752,-0.318319,-0.474149
753,-0.317147,-0.474177
754,-0.315975,-0.474205
755,-0.314802,-0.474233
756,-0.31363,-0.474261
757,-0.312457,-0.474289
758,-0.311285,-0.474317
759,-0.310112,-0.474345
760,-0.30894,-0.474373
761,-0.307768,-0.474401
762,-0.306595,-0.474429
763,-0.305423,-0.474457
764,-0.30425,-0.474485
765,-0.303078,-0.474513
766,-0.301905,-0.47454
767,-0.300733,-0.474568
768,-0.29956,-0.474596
769,-0.298388,-0.474624
770,-0.297215,-0.474651
771,-0.296043,-0.474679
772,-0.294871,-0.474707
773,-0.293698,-0.474734
774,-0.292526,-0.474762
775,-0.291353,-0.474789
776,-0.290181,-0.474817
777,-0.289008,-0.474844
778,-0.287836,-0.474871
779,-0.286663,-0.474899
780,-0.285491,-0.474926
781,-0.284319,-0.474954
782,-0.283146,-0.474981
783,-0.281974,-0.475008
784,-0.280801,-0.475035
785,-0.279629,-0.475063
786,-0.278456,-0.47509
787,-0.277284,-0.475117
788,-0.276111,-0.475144
789,-0.274939,-0.475171
790,-0.273766,-0.475198
791,-0.272594,-0.475225
792,-0.271422,-0.475252
793,-0.270249,-0.475279
794,-0.269077,-0.475306
795,-0.267904,-0.475333
796,-0.266732,-0.47536
797,-0.265559,-0.475387
798,-0.264387,-0.475414
799,-0.263214,-0.475441
800,-0.262042,-0.475468
801,-0.26087,-0.475494
802,-0.259697,-0.475521
803,-0.258525,-0.475548
804,-0.257352,-0.475575
805,-0.25618,-0.475601
806,-0.255007,-0.475628
807,-0.253835,-0.475655
808,-0.252662,-0.475681
809,-0.25149,-0.475708
810,-0.250318,-0.475734
811,-0.249145,-0.475761
812,-0.247973,-0.475787
813,-0.2468,-0.475814
814,-0.245628,-0.47584
815,-0.244455,-0.475866
816,-0.243283,-0.475893
817,-0.24211,-0.475919
818,-0.240938,-0.475945
819,-0.239766,-0.475972
820,-0.238593,-0.475998
821,-0.237421,-0.476024
822,-0.236248,-0.47605
823,-0.235076,-0.476077
824,-0.233903,-0.476103
